id,name,category,cuisine,serving,serving_grams,calories,protein,carbs,fat,sugar,source,imageUrl,imageQuery
1,Fish and Chips,Fast Food,Western,1 plate,390.0,780.0,32.0,82.0,36.0,6.0,ai_scan_csv_default_estimated_standard_portion,https://source.unsplash.com/800x600/?fish%20and%20chips,fish and chips
2,Mee Goreng (Fried Noodles),Noodles,Malaysia,1 plate,380.0,658.0,18.0,88.0,26.0,8.0,ai_scan_csv_default_estimated_standard_portion,https://source.unsplash.com/800x600/?mee%20goreng%20malaysian%20fried%20noodles,mee goreng malaysian fried noodles
3,Nasi Goreng (Fried Rice),Rice,Malaysia,1 plate,360.0,608.0,16.0,82.0,24.0,5.0,ai_scan_csv_default_estimated_standard_portion,https://source.unsplash.com/800x600/?nasi%20goreng%20fried%20rice,nasi goreng fried rice
4,Hamburger,Fast Food,Western,1 burger,220.0,550.0,25.0,45.0,30.0,9.0,ai_scan_csv_default_estimated_standard_portion,https://source.unsplash.com/800x600/?hamburger,hamburger
5,Kaya Toast,Roti,Malaysia,2 slices,120.0,366.0,8.0,52.0,14.0,24.0,ai_scan_csv_default_estimated_standard_portion,https://source.unsplash.com/800x600/?kaya%20toast,kaya toast
6,Laksa,Noodles,Malaysia,1 bowl,550.0,500.0,19.0,70.0,16.0,8.0,ai_scan_csv_default_estimated_standard_portion,https://source.unsplash.com/800x600/?laksa%20noodle%20soup,laksa noodle soup
7,Nasi Campur (Mixed Rice),Rice,Malaysia,1 plate,450.0,681.0,28.0,86.0,25.0,6.0,ai_scan_csv_default_estimated_standard_portion,https://source.unsplash.com/800x600/?nasi%20campur%20mixed%20rice,nasi campur mixed rice
8,Nasi Lemak,Rice,Malaysia,1 plate,350.0,644.0,18.0,80.0,28.0,6.0,ai_scan_csv_default_estimated_standard_portion,https://source.unsplash.com/800x600/?nasi%20lemak%20malaysian%20food,nasi lemak malaysian food
9,Popiah,Snacks,Malaysia,2 rolls,140.0,248.0,6.0,38.0,8.0,7.0,ai_scan_csv_default_estimated_standard_portion,https://source.unsplash.com/800x600/?popiah%20spring%20roll,popiah spring roll
10,Roti Canai,Roti,Indian Malaysian,1 piece with dhal,180.0,356.0,9.0,44.0,16.0,2.0,ai_scan_csv_default_estimated_standard_portion,https://source.unsplash.com/800x600/?roti%20canai,roti canai
11,Satay,Protein,Malaysia,10 sticks with peanut sauce,250.0,636.0,42.0,36.0,36.0,10.0,ai_scan_csv_default_estimated_standard_portion,https://source.unsplash.com/800x600/?satay%20skewers,satay skewers
12,Mee Goreng,Noodles,Malaysia,1 plate,380.0,658.0,18.0,88.0,26.0,8.0,manual_search_default_estimated_standard_portion,https://source.unsplash.com/800x600/?mee%20goreng%20malaysian%20fried%20noodles,mee goreng malaysian fried noodles
13,Nasi Goreng,Rice,Malaysia,1 plate,360.0,608.0,16.0,82.0,24.0,5.0,manual_search_default_estimated_standard_portion,https://source.unsplash.com/800x600/?nasi%20goreng%20fried%20rice,nasi goreng fried rice
14,Nasi Campur,Rice,Malaysia,1 plate,450.0,681.0,28.0,86.0,25.0,6.0,manual_search_default_estimated_standard_portion,https://source.unsplash.com/800x600/?nasi%20campur%20mixed%20rice,nasi campur mixed rice
15,Nasi Ayam,Rice,Malaysia,1 plate,420.0,589.0,28.0,72.0,21.0,4.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?malaysian%20chicken%20rice,malaysian chicken rice
16,Nasi Goreng Kampung,Rice,Malaysia,1 plate,380.0,614.0,18.0,86.0,22.0,5.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?nasi%20goreng%20fried%20rice,nasi goreng fried rice
17,Nasi Goreng Cina,Rice,Chinese Malaysian,1 plate,360.0,550.0,15.0,82.0,18.0,4.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?nasi%20goreng%20fried%20rice,nasi goreng fried rice
18,Nasi Goreng Pattaya,Rice,Malaysia,1 plate,430.0,734.0,26.0,90.0,30.0,7.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?nasi%20goreng%20fried%20rice,nasi goreng fried rice
19,Nasi Kandar,Rice,Indian Malaysian,1 plate,500.0,827.0,32.0,96.0,35.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?nasi%20kandar%20indian%20malaysian%20food,nasi kandar indian malaysian food
20,Nasi Kerabu,Rice,Malaysia,1 plate,430.0,614.0,26.0,78.0,22.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?nasi%20kerabu%20malaysia%20food,nasi kerabu malaysia food
21,Nasi Dagang,Rice,Malaysia,1 plate,430.0,624.0,24.0,78.0,24.0,7.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?nasi%20dagang%20malaysia%20food,nasi dagang malaysia food
22,Nasi Minyak,Rice,Malaysia,1 plate,350.0,460.0,9.0,70.0,16.0,4.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?nasi%20minyak%20malaysia%20food,nasi minyak malaysia food
23,Nasi Tomato,Rice,Malaysia,1 plate,360.0,454.0,10.0,72.0,14.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?nasi%20tomato%20malaysia%20food,nasi tomato malaysia food
24,Nasi Briyani Ayam,Rice,Indian Malaysian,1 plate,520.0,766.0,32.0,92.0,30.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?chicken%20dish,chicken dish
25,Nasi Briyani Kambing,Rice,Indian Malaysian,1 plate,540.0,810.0,34.0,92.0,34.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?mutton%20dish,mutton dish
26,Banana Leaf Rice,Rice,Indian Malaysian,1 set,550.0,748.0,24.0,100.0,28.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?banana%20leaf%20rice%20indian%20malaysian%20food,banana leaf rice indian malaysian food
27,Nasi Putih,Carbs,Malaysia,1 bowl,200.0,253.0,5.0,56.0,1.0,0.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?nasi%20putih%20malaysia%20food,nasi putih malaysia food
28,Nasi Kukus Ayam Berempah,Rice,Malaysia,1 plate,500.0,734.0,34.0,82.0,30.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?chicken%20dish,chicken dish
29,Nasi Berlauk Ikan,Rice,Malaysia,1 plate,420.0,570.0,28.0,74.0,18.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?fish%20dish,fish dish
30,Nasi Ulam,Rice,Malaysia,1 plate,360.0,460.0,16.0,72.0,12.0,5.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?nasi%20ulam%20malaysia%20food,nasi ulam malaysia food
31,Lontong,Rice,Malaysia,1 bowl,420.0,482.0,14.0,66.0,18.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?lontong%20malaysia%20food,lontong malaysia food
32,Ketupat Palas,Traditional,Malaysia,2 pieces,160.0,227.0,5.0,36.0,7.0,3.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?ketupat%20palas%20malaysia%20food,ketupat palas malaysia food
33,Lemang,Traditional,Malaysia,3 slices,180.0,286.0,5.0,44.0,10.0,2.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?lemang%20malaysia%20food,lemang malaysia food
34,Rendang Ayam with Rice,Rice,Malaysia,1 plate,480.0,684.0,30.0,78.0,28.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?chicken%20dish,chicken dish
35,Rendang Daging with Rice,Rice,Malaysia,1 plate,480.0,702.0,32.0,76.0,30.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?beef%20dish,beef dish
36,Ayam Masak Merah with Rice,Rice,Malaysia,1 plate,460.0,648.0,30.0,78.0,24.0,10.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?chicken%20dish,chicken dish
37,Ayam Percik with Rice,Rice,Malaysia,1 plate,480.0,674.0,32.0,78.0,26.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?chicken%20dish,chicken dish
38,Daging Masak Kicap with Rice,Rice,Malaysia,1 plate,460.0,638.0,30.0,80.0,22.0,9.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?beef%20dish,beef dish
39,Ikan Bakar with Rice,Rice,Malaysia,1 plate,430.0,550.0,34.0,72.0,14.0,4.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?fish%20dish,fish dish
40,Asam Pedas Ikan with Rice,Rice,Malaysia,1 plate,450.0,576.0,30.0,78.0,16.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?fish%20dish,fish dish
41,Sambal Sotong with Rice,Rice,Malaysia,1 plate,450.0,586.0,28.0,78.0,18.0,9.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?sambal%20sauce,sambal sauce
42,Chicken Curry Rice,Rice,Malaysia,1 plate,480.0,674.0,30.0,80.0,26.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?chicken%20dish,chicken dish
43,Fish Curry Rice,Rice,Malaysia,1 plate,470.0,646.0,30.0,82.0,22.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?fish%20dish,fish dish
44,Claypot Chicken Rice,Rice,Chinese Malaysian,1 pot,480.0,644.0,30.0,86.0,20.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?malaysian%20chicken%20rice,malaysian chicken rice
45,Hainanese Chicken Rice,Rice,Chinese Malaysian,1 plate,420.0,590.0,28.0,70.0,22.0,3.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?malaysian%20chicken%20rice,malaysian chicken rice
46,Economy Rice Chicken Vegetable,Rice,Malaysia,1 plate,450.0,602.0,28.0,82.0,18.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?chicken%20dish,chicken dish
47,Economy Rice Fish Vegetable,Rice,Malaysia,1 plate,440.0,584.0,30.0,80.0,16.0,5.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?fish%20dish,fish dish
48,Economy Rice Tofu Vegetable,Rice,Malaysia,1 plate,420.0,534.0,20.0,82.0,14.0,5.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?tofu%20dish,tofu dish
49,Nasi Lemak Ayam Goreng,Rice,Malaysia,1 plate,520.0,866.0,34.0,88.0,42.0,7.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?nasi%20lemak%20malaysian%20food,nasi lemak malaysian food
50,Nasi Lemak Rendang Daging,Rice,Malaysia,1 plate,500.0,806.0,32.0,84.0,38.0,7.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?nasi%20lemak%20malaysian%20food,nasi lemak malaysian food
51,Nasi Lemak Sambal Sotong,Rice,Malaysia,1 plate,470.0,754.0,28.0,84.0,34.0,9.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?nasi%20lemak%20malaysian%20food,nasi lemak malaysian food
52,Nasi Lemak Telur Rebus,Rice,Malaysia,1 plate,390.0,713.0,24.0,80.0,33.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?nasi%20lemak%20malaysian%20food,nasi lemak malaysian food
53,Nasi Lemak Sambal Udang,Rice,Malaysia,1 plate,470.0,744.0,30.0,84.0,32.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?nasi%20lemak%20malaysian%20food,nasi lemak malaysian food
54,Mee Goreng Mamak,Noodles,Indian Malaysian,1 plate,380.0,658.0,18.0,88.0,26.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?mee%20goreng%20malaysian%20fried%20noodles,mee goreng malaysian fried noodles
55,Mee Goreng Basah,Noodles,Malaysia,1 plate,400.0,614.0,18.0,86.0,22.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?mee%20goreng%20malaysian%20fried%20noodles,mee goreng malaysian fried noodles
56,Mee Hoon Goreng,Noodles,Malaysia,1 plate,330.0,522.0,14.0,76.0,18.0,5.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?mee%20hoon%20goreng%20malaysia%20food,mee hoon goreng malaysia food
57,Kuey Teow Goreng,Noodles,Malaysia,1 plate,360.0,616.0,18.0,82.0,24.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?kuey%20teow%20goreng%20malaysia%20food,kuey teow goreng malaysia food
58,Char Kuey Teow,Noodles,Chinese Malaysian,1 plate,380.0,686.0,22.0,82.0,30.0,7.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?char%20kuey%20teow%20chinese%20malaysian%20food,char kuey teow chinese malaysian food
59,Maggi Goreng,Noodles,Indian Malaysian,1 plate,360.0,584.0,16.0,76.0,24.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?maggi%20goreng%20indian%20malaysian%20food,maggi goreng indian malaysian food
60,Mee Rebus,Noodles,Malaysia,1 bowl,480.0,518.0,16.0,82.0,14.0,10.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?mee%20rebus%20malaysia%20food,mee rebus malaysia food
61,Mee Kari,Noodles,Malaysia,1 bowl,550.0,626.0,22.0,76.0,26.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?mee%20kari%20malaysia%20food,mee kari malaysia food
62,Curry Laksa,Noodles,Malaysia,1 bowl,600.0,696.0,24.0,78.0,32.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?laksa%20noodle%20soup,laksa noodle soup
63,Penang Assam Laksa,Noodles,Malaysia,1 bowl,520.0,466.0,22.0,72.0,10.0,12.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?laksa%20noodle%20soup,laksa noodle soup
64,Laksa Johor,Noodles,Malaysia,1 bowl,560.0,660.0,24.0,78.0,28.0,9.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?laksa%20noodle%20soup,laksa noodle soup
65,Laksa Sarawak,Noodles,Malaysia,1 bowl,580.0,686.0,28.0,76.0,30.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?laksa%20noodle%20soup,laksa noodle soup
66,Mee Bandung,Noodles,Malaysia,1 bowl,520.0,570.0,24.0,78.0,18.0,12.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?mee%20bandung%20malaysia%20food,mee bandung malaysia food
67,Pan Mee Soup,Noodles,Chinese Malaysian,1 bowl,520.0,518.0,24.0,74.0,14.0,4.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?soup%20bowl,soup bowl
68,Dry Pan Mee,Noodles,Chinese Malaysian,1 bowl,480.0,598.0,24.0,76.0,22.0,5.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?dry%20pan%20mee%20chinese%20malaysian%20food,dry pan mee chinese malaysian food
